id_pedido,id_produto,categoria
85267,25865,cool_stuff
71853,27230,pet_shop
6298,22624,moveis_decoracao
22550,15403,perfumaria
5247,8862,ferramentas_jardim
69449,3939,utilidades_domesticas
98566,22292,telefonia
47316,6974,ferramentas_jardim
92213,2713,beleza_saude
83215,28255,livros_tecnicos
47813,14394,beleza_saude
27412,23293,fashion_bolsas_e_acessorios
22539,9661,cama_mesa_banho
53957,4598,ferramentas_jardim
53957,4598,ferramentas_jardim
46176,1131,esporte_lazer
42591,9418,consoles_games
97103,30285,perfumaria
99375,1402,esporte_lazer
35598,2780,cool_stuff
33327,24601,cama_mesa_banho
35002,7115,telefonia
87048,16624,moveis_escritorio
81478,27297,fashion_bolsas_e_acessorios
12054,26772,cool_stuff
14034,16955,esporte_lazer
77723,26858,malas_acessorios
522,13501,moveis_decoracao
30023,25989,alimentos
42298,4763,moveis_decoracao
91675,12043,agro_industria_e_comercio
98319,21859,moveis_decoracao
36265,21358,esporte_lazer
36265,21358,esporte_lazer
36265,21358,esporte_lazer
42417,16474,telefonia
7812,16579,eletronicos
91312,26348,cama_mesa_banho
75112,28533,ferramentas_jardim
71319,20793,informatica_acessorios
21510,6237,cool_stuff
80440,21859,moveis_decoracao
26976,26487,eletronicos
26976,26487,eletronicos
26976,26487,eletronicos
96457,4518,construcao_ferramentas_construcao
16138,20490,informatica_acessorios
2490,21688,cama_mesa_banho
42205,20436,beleza_saude
42205,20436,beleza_saude
93405,25460,pet_shop
21601,15668,cama_mesa_banho
61009,28686,informatica_acessorios
11834,31813,beleza_saude
6583,6913,moveis_decoracao
12566,19479,moveis_decoracao
66527,23428,audio
35071,15719,esporte_lazer
39478,13187,livros_tecnicos
55678,9009,bebes
40220,9696,informatica_acessorios
16609,2758,esporte_lazer
60616,14756,informatica_acessorios
62598,18860,telefonia
54136,21004,cool_stuff
68932,32437,telefonia
86770,17681,moveis_decoracao
50399,12233,telefonia
99041,12291,construcao_ferramentas_iluminacao
9464,17612,perfumaria
10774,14259,beleza_saude
16060,9274,brinquedos
33770,20701,moveis_decoracao
68204,14035,cool_stuff
21065,19819,papelaria
55632,25445,utilidades_domesticas
55632,25445,utilidades_domesticas
83777,20461,perfumaria
2889,20613,moveis_decoracao
44054,21284,cama_mesa_banho
75759,24291,consoles_games
75759,24600,brinquedos
64888,8680,utilidades_domesticas
73378,14165,bebes
85228,28553,utilidades_domesticas
55595,11486,industria_comercio_e_negocios
93229,7507,utilidades_domesticas
81377,14057,malas_acessorios
81377,14057,malas_acessorios
77415,9299,brinquedos
11156,15801,pet_shop
12841,3402,cama_mesa_banho
12841,21086,cama_mesa_banho
67194,16892,ferramentas_jardim
3818,21950,beleza_saude
91211,25502,cama_mesa_banho
69891,31655,cool_stuff
73860,32840,moveis_decoracao
9473,25809,moveis_escritorio
65645,32183,brinquedos
82906,31684,esporte_lazer
34189,26609,perfumaria
34189,26609,perfumaria
43259,12687,esporte_lazer
61766,17205,utilidades_domesticas
33881,12807,construcao_ferramentas_construcao
87282,3286,utilidades_domesticas
92875,23830,informatica_acessorios
56448,6369,relogios_presentes
97662,13984,beleza_saude
24420,22807,telefonia
67516,2795,informatica_acessorios
67516,2795,informatica_acessorios
10478,27115,relogios_presentes
64546,793,relogios_presentes
83420,26252,informatica_acessorios
7713,30093,moveis_decoracao
26243,194,relogios_presentes
85919,1223,utilidades_domesticas
43215,22681,eletronicos
10179,24353,beleza_saude
47315,22985,automotivo
92358,21726,consoles_games
24613.0,12613.0,
2339,15492,moveis_decoracao
47263.0,25314.0,
44283,30293,ferramentas_jardim
84907,3175,beleza_saude
12039,6518,telefonia
50533,7834,perfumaria
88560,19196,papelaria
16047,8405,esporte_lazer
24732.0,29568.0,
32573,26300,cool_stuff
91060,1555,cool_stuff
97222,21688,cama_mesa_banho
97222,21688,cama_mesa_banho
19332,9224,alimentos
19332,9224,alimentos
19332,9224,alimentos
19332,9224,alimentos
30293,8290,informatica_acessorios
36217.0,30674.0,
187,28622,perfumaria
187,28622,perfumaria
68371,18349,telefonia
68688,24504,telefonia
24568,26652,beleza_saude
67831,11534,relogios_presentes
10464,10512,informatica_acessorios
79110,9944,esporte_lazer
26575,32824,brinquedos
26575,24989,bebes
26575,24989,bebes
76188,27232,informatica_acessorios
16108,25924,esporte_lazer
41513,14853,relogios_presentes
19414,10029,brinquedos
33460,24880,relogios_presentes
51190,26856,cool_stuff
35611,22481,eletrodomesticos
56804,13980,moveis_cozinha_area_de_servico_jantar_e_jardim
52992,14696,bebes
15460,15299,cama_mesa_banho
72790,961,eletronicos
16672,19028,moveis_decoracao
63211,4222,climatizacao
63211,4222,climatizacao
45412,25120,esporte_lazer
6924,21395,informatica_acessorios
93438,20350,brinquedos
98642.0,244.0,
78217,2022,brinquedos
1483,24440,fashion_bolsas_e_acessorios
94469,29848,esporte_lazer
85451,12123,relogios_presentes
61927,11024,ferramentas_jardim
65605,22974,casa_conforto
44205,18387,beleza_saude
22996,1129,brinquedos
22168,12924,utilidades_domesticas
58141,27175,brinquedos
84449,4950,relogios_presentes
68673,25793,relogios_presentes
48707,23024,esporte_lazer
51903,32734,beleza_saude
61429,28808,moveis_decoracao
83828,19747,esporte_lazer
33538,18108,cama_mesa_banho
57643,328,cama_mesa_banho
17052,18866,eletronicos
44122,21628,esporte_lazer
99251,17915,moveis_decoracao
89147,3493,telefonia
52374,15388,informatica_acessorios
11765,5877,cama_mesa_banho
12375,22571,cama_mesa_banho
49357,546,informatica_acessorios
11953,15125,eletrodomesticos
54431,30222,bebes
82873,15839,perfumaria
5843,3254,relogios_presentes
54759,6686,esporte_lazer
71659,1053,informatica_acessorios
40111,24624,beleza_saude
24034,31103,beleza_saude
16167,9354,informatica_acessorios
84139,17715,beleza_saude
40026,16301,cama_mesa_banho
91276,22724,brinquedos
91276,22724,brinquedos
64516,6254,automotivo
53337,22124,cama_mesa_banho
86085,26956,utilidades_domesticas
80678,25160,automotivo
2496,2575,beleza_saude
32929,1250,relogios_presentes
73427,10468,utilidades_domesticas
57870,29653,automotivo
1015,12133,pet_shop
1015,5473,pet_shop
54786,22738,construcao_ferramentas_construcao
68342,23388,perfumaria
60801,4751,esporte_lazer
84429,607,consoles_games
98849,23954,relogios_presentes
80209,2397,automotivo
19843,32370,informatica_acessorios
66741,8116,cool_stuff
91516,10438,informatica_acessorios
80843,27960,ferramentas_jardim
80843,24434,ferramentas_jardim
15792,11334,cama_mesa_banho
6196,7742,cama_mesa_banho
70828,12208,cama_mesa_banho
70828,12208,cama_mesa_banho
6995,31520,beleza_saude
48539,20550,perfumaria
84865,21219,ferramentas_jardim
81636,20987,telefonia
16038,21295,ferramentas_jardim
58357,14345,perfumaria
1257,8290,informatica_acessorios
96507,4378,utilidades_domesticas
45099,22651,esporte_lazer
3285,3771,moveis_decoracao
17884,1012,eletronicos
88467,19772,perfumaria
57091,25618,papelaria
7089,13176,consoles_games
85902,29877,utilidades_domesticas
15881,28008,automotivo
47311,17248,informatica_acessorios
47311,17248,informatica_acessorios
47311,17248,informatica_acessorios
15302,20701,moveis_decoracao
2716,4068,casa_conforto
65290,28177,telefonia_fixa
60924,13430,moveis_decoracao
89193,21393,cama_mesa_banho
29454,17692,informatica_acessorios
39945,23586,esporte_lazer
3725,21893,perfumaria
66309,289,esporte_lazer
63185,4850,beleza_saude
53887,25090,portateis_casa_forno_e_cafe
90492,2359,moveis_decoracao
39408,20725,fraldas_higiene
77006,6349,moveis_escritorio
40247,6527,relogios_presentes
24643,17055,automotivo
54553,19799,bebes
54023,289,esporte_lazer
80063,19831,sinalizacao_e_seguranca
97964,31016,automotivo
97964,31016,automotivo
11542,11492,relogios_presentes
83180,21485,fashion_bolsas_e_acessorios
90118,22400,beleza_saude
41364,7042,fashion_bolsas_e_acessorios
9814,251,eletronicos
74568,26996,cama_mesa_banho
79831,29585,ferramentas_jardim
16346,21492,informatica_acessorios
99366,19517,papelaria
27946,662,utilidades_domesticas
78856,13163,moveis_cozinha_area_de_servico_jantar_e_jardim
68575,15672,telefonia
68575,15672,telefonia
7057,5278,automotivo
76097,27749,beleza_saude
19052,28708,cama_mesa_banho
19231,26179,telefonia
71717,5928,relogios_presentes
61991,5822,beleza_saude
64314,3836,beleza_saude
24705,711,informatica_acessorios
24705,8096,informatica_acessorios
24705,11265,informatica_acessorios
24705,16281,informatica_acessorios
2857,7258,informatica_acessorios
55719,23601,relogios_presentes
96149,4423,esporte_lazer
864,32205,relogios_presentes
69547,3085,esporte_lazer
41718,18930,construcao_ferramentas_iluminacao
27881,17349,beleza_saude
71439,10853,moveis_decoracao
71439,10853,moveis_decoracao
52842,22156,eletronicos
47378,20518,beleza_saude
87783,14301,moveis_decoracao
26882,11561,perfumaria
45261,9078,automotivo
69205,92,beleza_saude
32807,8909,industria_comercio_e_negocios
98834,9661,cama_mesa_banho
62833,29945,perfumaria
67319,10571,papelaria
31265,4598,ferramentas_jardim
9693,18541,eletronicos
45436,8728,utilidades_domesticas
45389,13800,cama_mesa_banho
69690,17832,esporte_lazer
81846,19431,automotivo
31675,10551,moveis_decoracao
16576,8495,automotivo
16576,8495,automotivo
16576,8495,automotivo
16576,8495,automotivo
45764,25322,climatizacao
20342,4391,automotivo
22767,8290,informatica_acessorios
40375,32840,moveis_decoracao
73134,3691,instrumentos_musicais
46662,7131,relogios_presentes
41614,21136,informatica_acessorios
32886,6664,moveis_decoracao
73437,21164,telefonia
16684,28957,beleza_saude
7740,8726,beleza_saude
70764,12781,esporte_lazer
29378,9811,cama_mesa_banho
29378,9811,cama_mesa_banho
49015,30689,eletroportateis
36074,25187,telefonia
80519,32695,pet_shop
35238,6997,construcao_ferramentas_jardim
35238,6997,construcao_ferramentas_jardim
43938,25896,esporte_lazer
84541,15744,beleza_saude
55395,3163,moveis_decoracao
91515,9560,moveis_decoracao
98018,8957,cool_stuff
71635,10692,informatica_acessorios
71635,10692,informatica_acessorios
22790,19052,beleza_saude
82402,11241,artes
76395,8954,relogios_presentes
62525,22160,ferramentas_jardim
14240,17090,esporte_lazer
53377,19150,informatica_acessorios
48328,27876,beleza_saude
14940,14764,instrumentos_musicais
94438,26069,moveis_decoracao
24911,20486,relogios_presentes
58696,15893,fashion_bolsas_e_acessorios
42459,24600,brinquedos
42459,24600,brinquedos
77998,26128,telefonia
54128.0,10239.0,
95855,32609,relogios_presentes
45243,10186,beleza_saude
88492,32209,moveis_escritorio
17019,17592,telefonia
82611,18696,moveis_decoracao
81238,3516,perfumaria
55937,17203,informatica_acessorios
41178.0,31785.0,
87964,32158,consoles_games
63288,32098,ferramentas_jardim
44432,26608,brinquedos
43421,13984,beleza_saude
96958,10286,cama_mesa_banho
75936,12576,relogios_presentes
54085,14345,perfumaria
68863,28571,brinquedos
68863,28571,brinquedos
68863,28571,brinquedos
68863,28571,brinquedos
95116,32025,casa_conforto
77079,2092,eletrodomesticos
2933,32888,utilidades_domesticas
30181,13570,cama_mesa_banho
58759,3456,cama_mesa_banho
68183,4125,automotivo
3042,19657,casa_construcao
46099,27903,moveis_decoracao
96039,26027,cool_stuff
67863,15113,moveis_decoracao
67863,15113,moveis_decoracao
67863,15113,moveis_decoracao
23043,2592,telefonia
88230,19204,esporte_lazer
78670,1881,construcao_ferramentas_construcao
78670,1881,construcao_ferramentas_construcao
78670,1881,construcao_ferramentas_construcao
19895,32138,livros_interesse_geral
90920,15804,perfumaria
95266,31044,beleza_saude
95188,21395,informatica_acessorios
24369,7590,artigos_de_festas
54620,1468,brinquedos
54620,1468,brinquedos
13734,23791,telefonia
48020,28919,informatica_acessorios
34153,16919,utilidades_domesticas
75263,23118,cool_stuff
5678,14509,utilidades_domesticas
15281,31217,relogios_presentes
15200,2270,cama_mesa_banho
15200,2270,cama_mesa_banho
51435,17859,beleza_saude
16285,4332,perfumaria
63846,2191,cama_mesa_banho
92805,7506,cama_mesa_banho
79379,17187,utilidades_domesticas
21850,32025,casa_conforto
78774,15701,moveis_decoracao
36267,4322,cama_mesa_banho
18143,8815,esporte_lazer
86584,25920,utilidades_domesticas
22495,31129,esporte_lazer
57696,8205,brinquedos
50979.0,29568.0,
70544,10227,relogios_presentes
43451,7510,telefonia
71928,26190,agro_industria_e_comercio
71928,26190,agro_industria_e_comercio
71928,26190,agro_industria_e_comercio
71928,26190,agro_industria_e_comercio
36157,3339,eletronicos
27406,8494,eletronicos
15596,28163,relogios_presentes
52110,4636,consoles_games
10710,29886,industria_comercio_e_negocios
85314,32098,ferramentas_jardim
85314,32098,ferramentas_jardim
48025,6247,automotivo
50750,3338,informatica_acessorios
96926,29570,relogios_presentes
59392,3787,malas_acessorios
61992,26658,consoles_games
13617,22512,moveis_cozinha_area_de_servico_jantar_e_jardim
90524.0,1066.0,
69172,26747,automotivo
64090.0,6994.0,
33132,13764,cama_mesa_banho
33132,13764,cama_mesa_banho
31224,19619,beleza_saude
38116,25217,automotivo
24293,1918,beleza_saude
34404,21501,esporte_lazer
34404,21501,esporte_lazer
66312,10175,automotivo
81516,7459,beleza_saude
81516,12213,beleza_saude
41930,17114,beleza_saude
9724,29726,eletronicos
88845,25336,informatica_acessorios
83997,31239,construcao_ferramentas_construcao
98903,7737,cama_mesa_banho
47793,5726,telefonia
43145,13444,cama_mesa_banho
88496,30737,informatica_acessorios
89550,32580,cama_mesa_banho
94191,26989,ferramentas_jardim
24704,25068,brinquedos
26942,22224,utilidades_domesticas
544,23916,perfumaria
90434,15530,relogios_presentes
18566,18696,moveis_decoracao
18566,18696,moveis_decoracao
33348,793,relogios_presentes
2922,23953,informatica_acessorios
8360,24115,cama_mesa_banho
84478,25956,eletronicos
87805,26562,eletroportateis
98897,26876,informatica_acessorios
48500,21366,bebes
26975,2966,brinquedos
72953,19360,relogios_presentes
57176,15642,eletronicos
40583,25228,moveis_decoracao
57685,11927,bebes
57685,28800,bebes
65507,25749,automotivo
7641,21777,ferramentas_jardim
7641,21777,ferramentas_jardim
