id_pedido,id_produto
85267,25865
71853,27230
6298,22624
22550,15403
5247,8862
69449,3939
98566,22292
47316,6974
92213,2713
83215,28255
47813,14394
27412,23293
22539,9661
53957,4598
53957,4598
46176,1131
42591,9418
97103,30285
99375,1402
35598,2780
33327,24601
35002,7115
87048,16624
81478,27297
12054,26772
14034,16955
77723,26858
522,13501
30023,25989
42298,4763
91675,12043
98319,21859
36265,21358
36265,21358
36265,21358
42417,16474
7812,16579
91312,26348
75112,28533
71319,20793
21510,6237
80440,21859
26976,26487
26976,26487
26976,26487
96457,4518
16138,20490
2490,21688
42205,20436
42205,20436
93405,25460
21601,15668
61009,28686
11834,31813
6583,6913
12566,19479
66527,23428
35071,15719
39478,13187
55678,9009
40220,9696
16609,2758
60616,14756
62598,18860
54136,21004
68932,32437
86770,17681
50399,12233
99041,12291
9464,17612
10774,14259
16060,9274
33770,20701
68204,14035
21065,19819
55632,25445
55632,25445
83777,20461
2889,20613
44054,21284
75759,24291
75759,24600
64888,8680
73378,14165
85228,28553
55595,11486
93229,7507
81377,14057
81377,14057
77415,9299
11156,15801
12841,3402
12841,21086
67194,16892
3818,21950
91211,25502
69891,31655
73860,32840
9473,25809
65645,32183
82906,31684
34189,26609
34189,26609
43259,12687
61766,17205
33881,12807
87282,3286
92875,23830
56448,6369
97662,13984
24420,22807
67516,2795
67516,2795
10478,27115
64546,793
83420,26252
7713,30093
26243,194
85919,1223
43215,22681
10179,24353
47315,22985
92358,21726
24613,12613
2339,15492
47263,25314
44283,30293
84907,3175
12039,6518
50533,7834
88560,19196
16047,8405
24732,29568
32573,26300
91060,1555
97222,21688
97222,21688
19332,9224
19332,9224
19332,9224
19332,9224
30293,8290
36217,30674
187,28622
187,28622
68371,18349
68688,24504
24568,26652
67831,11534
10464,10512
79110,9944
26575,32824
26575,24989
26575,24989
76188,27232
16108,25924
41513,14853
19414,10029
33460,24880
51190,26856
35611,22481
56804,13980
52992,14696
15460,15299
72790,961
16672,19028
63211,4222
63211,4222
45412,25120
6924,21395
93438,20350
98642,244
78217,2022
1483,24440
94469,29848
85451,12123
61927,11024
65605,22974
44205,18387
22996,1129
22168,12924
58141,27175
84449,4950
68673,25793
48707,23024
51903,32734
61429,28808
83828,19747
33538,18108
57643,328
17052,18866
44122,21628
99251,17915
89147,3493
52374,15388
11765,5877
12375,22571
49357,546
11953,15125
54431,30222
82873,15839
5843,3254
54759,6686
71659,1053
40111,24624
24034,31103
16167,9354
84139,17715
40026,16301
91276,22724
91276,22724
64516,6254
53337,22124
86085,26956
80678,25160
2496,2575
32929,1250
73427,10468
57870,29653
1015,12133
1015,5473
54786,22738
68342,23388
60801,4751
84429,607
98849,23954
80209,2397
19843,32370
66741,8116
91516,10438
80843,27960
80843,24434
15792,11334
6196,7742
70828,12208
70828,12208
6995,31520
48539,20550
84865,21219
81636,20987
16038,21295
58357,14345
1257,8290
96507,4378
45099,22651
3285,3771
17884,1012
88467,19772
57091,25618
7089,13176
85902,29877
15881,28008
47311,17248
47311,17248
47311,17248
15302,20701
2716,4068
65290,28177
60924,13430
89193,21393
29454,17692
39945,23586
3725,21893
66309,289
63185,4850
53887,25090
90492,2359
39408,20725
77006,6349
40247,6527
24643,17055
54553,19799
54023,289
80063,19831
97964,31016
97964,31016
11542,11492
83180,21485
90118,22400
41364,7042
9814,251
74568,26996
79831,29585
16346,21492
99366,19517
27946,662
78856,13163
68575,15672
68575,15672
7057,5278
76097,27749
19052,28708
19231,26179
71717,5928
61991,5822
64314,3836
24705,711
24705,8096
24705,11265
24705,16281
2857,7258
55719,23601
96149,4423
864,32205
69547,3085
41718,18930
27881,17349
71439,10853
71439,10853
52842,22156
47378,20518
87783,14301
26882,11561
45261,9078
69205,92
32807,8909
98834,9661
62833,29945
67319,10571
31265,4598
9693,18541
45436,8728
45389,13800
69690,17832
81846,19431
31675,10551
16576,8495
16576,8495
16576,8495
16576,8495
45764,25322
20342,4391
22767,8290
40375,32840
73134,3691
46662,7131
41614,21136
32886,6664
73437,21164
16684,28957
7740,8726
70764,12781
29378,9811
29378,9811
49015,30689
36074,25187
80519,32695
35238,6997
35238,6997
43938,25896
84541,15744
55395,3163
91515,9560
98018,8957
71635,10692
71635,10692
22790,19052
82402,11241
76395,8954
62525,22160
14240,17090
53377,19150
48328,27876
14940,14764
94438,26069
24911,20486
58696,15893
42459,24600
42459,24600
77998,26128
54128,10239
95855,32609
45243,10186
88492,32209
17019,17592
82611,18696
81238,3516
55937,17203
41178,31785
87964,32158
63288,32098
44432,26608
43421,13984
96958,10286
75936,12576
54085,14345
68863,28571
68863,28571
68863,28571
68863,28571
95116,32025
77079,2092
2933,32888
30181,13570
58759,3456
68183,4125
3042,19657
46099,27903
96039,26027
67863,15113
67863,15113
67863,15113
